INSERT into STUDENT values ('Student0', 6.93, 7, 'PES2UG18ME033', 'ME', 'Student0@gmail.com', 7511019992, 0);
INSERT into STUDENT values ('Student226', 3.11, 7, 'PES2UG18EC125', 'ECE', 'Student226@outlook.com', 8781535340, 0);
INSERT into STUDENT values ('Student227', 1.94, 1, 'PES2UG21CV571', 'CV', 'Student227@yahoo.com', 8070856277, 0);
INSERT into STUDENT values ('Student228', 6.56, 5, 'PES1UG19EE384', 'EEE', 'Student228@outlook.com', 7572647363, 0);
INSERT into STUDENT values ('Student229', 2.34, 3, 1295, 'ECE', 'Student229@outlook.com', 6293583168, 1);
INSERT into STUDENT values ('Student230', 9.77, 5, 'PES2UG19CV097', 'CV', 'Student230@yahoo.com', 9069448912, 0);
INSERT into STUDENT values ('Student231', 3.27, 1, 'PES1UG21EE147', 'EEE', 'Student231@hotmail.com', 9300353036, 0);
INSERT into STUDENT values ('Student232', 5.24, 7, 745, 'CSE', 'Student232@outlook.com', 8285132851, NULL);
INSERT into STUDENT values ('Student233', 7.69, 5, 'PES2UG19CS043', 'CSE', 'Student233@rediffmail.com', 7393967475, 0);
INSERT into STUDENT values ('Student234', 8.36, 3, 'PES1UG20BT395', 'BT', 'Student234@outlook.com', 9206380882, 0);
INSERT into STUDENT values ('Student235', 9.37, 1, 1061, 'EEE', 'Student235@rediffmail.com', 7642221319, 1);
INSERT into STUDENT values ('Student236', 4.66, 1, 1359, 'CV', 'Student236@yahoo.com', 7912012018, NULL);
INSERT into STUDENT values ('Student237', 6.72, 1, 744, 'ECE', 'Student237@gmail.com', 6864320917, NULL);
INSERT into STUDENT values ('Student238', 3.77, 1, 1333, 'BT', 'Student238@gmail.com', 6043874951, 1);
INSERT into STUDENT values ('Student239', 9.0, 1, 'PES2UG21EC282', 'ECE', 'Student239@outlook.com', 7606576574, 0);
INSERT into STUDENT values ('Student240', 4.06, 5, 826, 'CSE', 'Student240@gmail.com', 9421470382, NULL);
INSERT into STUDENT values ('Student241', 4.17, 3, 'PES1UG20BT420', 'BT', 'Student241@outlook.com', 9299278012, 0);
INSERT into STUDENT values ('Student242', 4.55, 5, 'PES1UG19EC176', 'ECE', 'Student242@yahoo.com', 7056418724, 0);
INSERT into STUDENT values ('Student243', 7.63, 7, 'PES1UG18ME005', 'ME', 'Student243@gmail.com', 7131380793, 0);
INSERT into STUDENT values ('Student244', 7.14, 7, 1238, 'BT', 'Student244@gmail.com', 6591645563, 1);
INSERT into STUDENT values ('Student245', 4.61, 5, 818, 'CSE', 'Student245@outlook.com', 9655695712, 1);
INSERT into STUDENT values ('Student246', 9.63, 1, 'PES2UG21CS709', 'CSE', 'Student246@rediffmail.com', 6492995721, 0);
INSERT into STUDENT values ('Student247', 9.09, 1, 'PES2UG21EC243', 'ECE', 'Student247@outlook.com', 7594239042, 0);
INSERT into STUDENT values ('Student248', 1.21, 3, 'PES1UG20CS106', 'CSE', 'Student248@yahoo.com', 6299617655, 0);
INSERT into STUDENT values ('Student249', 2.87, 5, 'PES2UG19CV114', 'CV', 'Student249@hotmail.com', 9354423430, 0);
INSERT into STUDENT values ('Student250', 8.29, 5, 'PES1UG19CS391', 'CSE', 'Student250@outlook.com', 7859705707, 0);
INSERT into STUDENT values ('Student251', 5.73, 7, 1242, 'EEE', 'Student251@hotmail.com', 7251457838, NULL);
INSERT into STUDENT values ('Student252', 3.04, 7, 729, 'CSE', 'Student252@hotmail.com', 7829391678, 1);
INSERT into STUDENT values ('Student253', 3.01, 1, 1316, 'BT', 'Student253@yahoo.com', 7498088365, 1);
INSERT into STUDENT values ('Student254', 9.11, 7, 'PES1UG18ME302', 'ME', 'Student254@gmail.com', 8845655932, 0);
INSERT into STUDENT values ('Student255', 6.2, 1, 'PES1UG21EE400', 'EEE', 'Student255@rediffmail.com', 7844864222, 0);
INSERT into STUDENT values ('Student256', 8.75, 7, 1335, 'BT', 'Student256@gmail.com', 6214453549, 1);
INSERT into STUDENT values ('Student257', 3.81, 1, 975, 'CV', 'Student257@rediffmail.com', 8421049021, NULL);
INSERT into STUDENT values ('Student258', 4.02, 3, 'PES2UG20ME011', 'ME', 'Student258@rediffmail.com', 7281396460, 0);
INSERT into STUDENT values ('Student259', 4.49, 7, 'PES1UG18CS193', 'CSE', 'Student259@outlook.com', 6416739190, 0);
INSERT into STUDENT values ('Student260', 3.11, 1, 1415, 'BT', 'Student260@yahoo.com', 7944318962, NULL);
INSERT into STUDENT values ('Student261', 7.8, 3, 1011, 'ME', 'Student261@outlook.com', 9697635650, NULL);
INSERT into STUDENT values ('Student262', 6.06, 3, 'PES2UG20EE025', 'EEE', 'Student262@hotmail.com', 7126953402, 0);
INSERT into STUDENT values ('Student263', 8.75, 7, 'PES2UG18CS533', 'CSE', 'Student263@gmail.com', 9560023169, 0);
INSERT into STUDENT values ('Student264', 9.67, 1, 'PES2UG21ME175', 'ME', 'Student264@gmail.com', 7283059735, 0);
INSERT into STUDENT values ('Student265', 8.95, 5, 'PES1UG19BT391', 'BT', 'Student265@hotmail.com', 7647479489, 0);
INSERT into STUDENT values ('Student266', 5.74, 7, 726, 'CSE', 'Student266@yahoo.com', 7785093342, 1);
INSERT into STUDENT values ('Student267', 5.37, 7, 877, 'BT', 'Student267@hotmail.com', 6398668018, 1);
INSERT into STUDENT values ('Student268', 6.55, 7, 'PES2UG18BT315', 'BT', 'Student268@yahoo.com', 8381110642, 0);
INSERT into STUDENT values ('Student269', 3.86, 3, 'PES2UG20CS191', 'CSE', 'Student269@yahoo.com', 9042058524, 0);
INSERT into STUDENT values ('Student270', 5.47, 3, 'PES1UG20EC339', 'ECE', 'Student270@hotmail.com', 9705851373, 0);
INSERT into STUDENT values ('Student271', 9.71, 3, 1334, 'ME', 'Student271@yahoo.com', 6702905497, NULL);
INSERT into STUDENT values ('Student272', 3.1, 1, 'PES1UG21CS274', 'CSE', 'Student272@outlook.com', 9296340399, 0);
INSERT into STUDENT values ('Student273', 9.11, 1, 1071, 'CSE', 'Student273@yahoo.com', 7705127334, 1);
INSERT into STUDENT values ('Student274', 5.09, 7, 'PES1UG18EC081', 'ECE', 'Student274@rediffmail.com', 7429157593, 0);
INSERT into STUDENT values ('Student275', 2.76, 7, 'PES2UG18CS576', 'CSE', 'Student275@hotmail.com', 6765061830, 0);
INSERT into STUDENT values ('Student276', 6.69, 3, 'PES1UG20BT578', 'BT', 'Student276@rediffmail.com', 8102582897, 0);
INSERT into STUDENT values ('Student277', 3.75, 3, 1051, 'ECE', 'Student277@hotmail.com', 8625621570, 1);
INSERT into STUDENT values ('Student278', 3.81, 5, 1190, 'BT', 'Student278@gmail.com', 6961965916, 1);
INSERT into STUDENT values ('Student279', 8.34, 1, 1135, 'ME', 'Student279@rediffmail.com', 6750610701, 1);
INSERT into STUDENT values ('Student280', 7.27, 7, 'PES1UG18BT285', 'BT', 'Student280@rediffmail.com', 6638285653, 0);
INSERT into STUDENT values ('Student281', 5.12, 3, 'PES1UG20CV656', 'CV', 'Student281@hotmail.com', 9675252360, 0);
INSERT into STUDENT values ('Student282', 7.95, 1, 1088, 'EEE', 'Student282@outlook.com', 9870200343, 1);
INSERT into STUDENT values ('Student283', 3.54, 5, 'PES2UG19CS128', 'CSE', 'Student283@gmail.com', 6933152816, 0);
INSERT into STUDENT values ('Student284', 5.77, 5, 758, 'CSE', 'Student284@yahoo.com', 9283250468, NULL);
INSERT into STUDENT values ('Student285', 8.35, 3, 751, 'ME', 'Student285@rediffmail.com', 7122419221, NULL);
INSERT into STUDENT values ('Student286', 7.26, 7, 'PES1UG18ME302', 'ME', 'Student286@yahoo.com', 8284187530, 0);
INSERT into STUDENT values ('Student287', 3.87, 5, 'PES1UG19BT134', 'BT', 'Student287@hotmail.com', 7690754908, 0);
INSERT into STUDENT values ('Student288', 8.69, 7, 'PES2UG18CS000', 'CSE', 'Student288@gmail.com', 9520159373, 0);
INSERT into STUDENT values ('Student289', 2.0, 5, 944, 'ME', 'Student289@rediffmail.com', 8521053113, 1);
INSERT into STUDENT values ('Student290', 7.92, 5, 'PES2UG19ME044', 'ME', 'Student290@gmail.com', 8168936384, 0);
INSERT into STUDENT values ('Student291', 8.18, 3, 941, 'BT', 'Student291@yahoo.com', 7521305133, NULL);
INSERT into STUDENT values ('Student292', 4.7, 1, 'PES2UG21CS038', 'CSE', 'Student292@outlook.com', 6014013305, 0);
INSERT into STUDENT values ('Student293', 9.75, 1, 1155, 'ECE', 'Student293@rediffmail.com', 9940607760, 1);
INSERT into STUDENT values ('Student294', 9.52, 3, 'PES1UG20CV710', 'CV', 'Student294@yahoo.com', 8416579543, 0);
INSERT into STUDENT values ('Student295', 7.92, 3, 733, 'CSE', 'Student295@outlook.com', 7252181799, NULL);
INSERT into STUDENT values ('Student296', 2.77, 3, 1301, 'EEE', 'Student296@gmail.com', 8661179078, NULL);
INSERT into STUDENT values ('Student297', 9.79, 7, 'PES1UG18CV328', 'CV', 'Student297@outlook.com', 8827711022, 0);
INSERT into STUDENT values ('Student298', 9.55, 5, 'PES1UG19EC267', 'ECE', 'Student298@gmail.com', 7377023512, 0);
INSERT into STUDENT values ('Student299', 6.64, 1, 'PES1UG21CS034', 'CSE', 'Student299@yahoo.com', 8380148861, 0);
INSERT into STUDENT values ('Student300', 2.53, 5, 'PES2UG19CV634', 'CV', 'Student300@gmail.com', 9043889319, 0);
INSERT into STUDENT values ('Student301', 1.43, 1, 958, 'BT', 'Student301@rediffmail.com', 8110044039, NULL);
INSERT into STUDENT values ('Student302', 8.01, 3, 782, 'ME', 'Student302@yahoo.com', 7742109222, NULL);
INSERT into STUDENT values ('Student303', 1.87, 3, 777, 'EEE', 'Student303@gmail.com', 7088358660, 1);
INSERT into STUDENT values ('Student304', 1.55, 1, 1025, 'EEE', 'Student304@outlook.com', 8416527381, NULL);
INSERT into STUDENT values ('Student305', 6.14, 5, 'PES1UG19EE395', 'EEE', 'Student305@hotmail.com', 6640919183, 0);
INSERT into STUDENT values ('Student306', 4.49, 7, 'PES1UG18EC313', 'ECE', 'Student306@rediffmail.com', 9624723334, 0);
INSERT into STUDENT values ('Student307', 5.4, 3, 1310, 'CV', 'Student307@hotmail.com', 8956085876, 1);
INSERT into STUDENT values ('Student308', 9.55, 5, 'PES2UG19EE193', 'EEE', 'Student308@outlook.com', 8151338948, 0);
INSERT into STUDENT values ('Student309', 7.28, 1, 823, 'EEE', 'Student309@gmail.com', 8090169496, 1);
INSERT into STUDENT values ('Student310', 3.91, 7, 1146, 'ECE', 'Student310@rediffmail.com', 9036508248, NULL);
INSERT into STUDENT values ('Student311', 5.05, 1, 'PES1UG21EE264', 'EEE', 'Student311@hotmail.com', 9666381296, 0);
INSERT into STUDENT values ('Student312', 6.82, 3, 'PES1UG20CS317', 'CSE', 'Student312@hotmail.com', 8376551871, 0);
INSERT into STUDENT values ('Student313', 7.46, 3, 863, 'CV', 'Student313@outlook.com', 9726888110, 1);
INSERT into STUDENT values ('Student314', 9.57, 1, 1420, 'ME', 'Student314@outlook.com', 8155733926, 1);
INSERT into STUDENT values ('Student315', 6.55, 5, 975, 'CV', 'Student315@gmail.com', 6255281336, 1);
INSERT into STUDENT values ('Student316', 4.12, 1, 744, 'CSE', 'Student316@hotmail.com', 6190486390, NULL);
INSERT into STUDENT values ('Student317', 3.73, 3, 'PES2UG20CS229', 'CSE', 'Student317@gmail.com', 7702239164, 0);
INSERT into STUDENT values ('Student318', 8.07, 7, 1136, 'CV', 'Student318@rediffmail.com', 7582866370, 1);
INSERT into STUDENT values ('Student319', 5.62, 7, 'PES1UG18EE060', 'EEE', 'Student319@rediffmail.com', 7765239171, 0);
INSERT into STUDENT values ('Student320', 9.94, 7, 'PES1UG18EE314', 'EEE', 'Student320@hotmail.com', 6224591259, 0);
INSERT into STUDENT values ('Student321', 3.33, 7, 'PES1UG18CS457', 'CSE', 'Student321@gmail.com', 6644076341, 0);
INSERT into STUDENT values ('Student322', 7.3, 5, 'PES1UG19EE666', 'EEE', 'Student322@outlook.com', 6516847883, 0);
INSERT into STUDENT values ('Student323', 1.72, 5, 'PES1UG19CV596', 'CV', 'Student323@outlook.com', 7254342526, 0);
INSERT into STUDENT values ('Student324', 7.96, 1, 'PES1UG21CV418', 'CV', 'Student324@yahoo.com', 8453040270, 0);
INSERT into STUDENT values ('Student325', 2.55, 7, 'PES2UG18EE588', 'EEE', 'Student325@yahoo.com', 6652981710, 0);
INSERT into STUDENT values ('Student326', 6.09, 5, 768, 'EEE', 'Student326@outlook.com', 9528959268, NULL);
INSERT into STUDENT values ('Student327', 4.26, 1, 'PES2UG21CS313', 'CSE', 'Student327@yahoo.com', 6257400428, 0);
INSERT into STUDENT values ('Student328', 3.61, 3, 'PES1UG20EC009', 'ECE', 'Student328@rediffmail.com', 7477704965, 0);
INSERT into STUDENT values ('Student329', 6.7, 5, 'PES2UG19EE290', 'EEE', 'Student329@hotmail.com', 9654775729, 0);
INSERT into STUDENT values ('Student330', 1.91, 5, 1162, 'CSE', 'Student330@outlook.com', 9981625508, 1);
INSERT into STUDENT values ('Student331', 2.42, 3, 'PES2UG20EC576', 'ECE', 'Student331@outlook.com', 8219532421, 0);
INSERT into STUDENT values ('Student332', 8.17, 3, 844, 'CV', 'Student332@hotmail.com', 7493355942, 1);
INSERT into STUDENT values ('Student333', 6.53, 7, 'PES1UG18CV391', 'CV', 'Student333@gmail.com', 8728785574, 0);
INSERT into STUDENT values ('Student334', 1.98, 3, 'PES1UG20EC457', 'ECE', 'Student334@outlook.com', 9410853914, 0);
INSERT into STUDENT values ('Student335', 6.34, 1, 'PES2UG21CS175', 'CSE', 'Student335@outlook.com', 6219424813, 0);
INSERT into STUDENT values ('Student336', 3.78, 5, 865, 'CV', 'Student336@hotmail.com', 8449367866, NULL);
INSERT into STUDENT values ('Student337', 3.56, 7, 'PES2UG18CV351', 'CV', 'Student337@rediffmail.com', 7793871603, 0);
INSERT into STUDENT values ('Student338', 7.94, 7, 'PES2UG18EC385', 'ECE', 'Student338@gmail.com', 8507192264, 0);
INSERT into STUDENT values ('Student339', 1.36, 3, 948, 'ECE', 'Student339@gmail.com', 9468562399, 1);
INSERT into STUDENT values ('Student340', 7.4, 3, 1182, 'ECE', 'Student340@yahoo.com', 7670950602, 1);
INSERT into STUDENT values ('Student341', 3.18, 5, 'PES1UG19EE455', 'EEE', 'Student341@outlook.com', 6999311366, 0);
INSERT into STUDENT values ('Student342', 2.3, 1, 771, 'ECE', 'Student342@outlook.com', 7159085573, 1);
INSERT into STUDENT values ('Student343', 2.24, 3, 1147, 'BT', 'Student343@outlook.com', 8624737066, NULL);
INSERT into STUDENT values ('Student344', 4.09, 5, 823, 'EEE', 'Student344@hotmail.com', 6725724974, 1);
INSERT into STUDENT values ('Student345', 2.74, 3, 'PES2UG20BT414', 'BT', 'Student345@outlook.com', 7334077417, 0);
INSERT into STUDENT values ('Student346', 8.64, 5, 'PES1UG19EE105', 'EEE', 'Student346@hotmail.com', 7590670527, 0);
INSERT into STUDENT values ('Student347', 8.36, 7, 'PES2UG18EE449', 'EEE', 'Student347@hotmail.com', 8249462462, 0);
INSERT into STUDENT values ('Student348', 8.58, 1, 'PES2UG21CS149', 'CSE', 'Student348@gmail.com', 9852138832, 0);
INSERT into STUDENT values ('Student349', 5.35, 1, 1275, 'ME', 'Student349@yahoo.com', 7979724478, NULL);
INSERT into STUDENT values ('Student350', 6.29, 3, 'PES2UG20BT677', 'BT', 'Student350@yahoo.com', 8598968709, 0);
INSERT into STUDENT values ('Student351', 9.72, 5, 1245, 'EEE', 'Student351@gmail.com', 9142530927, NULL);
INSERT into STUDENT values ('Student352', 7.09, 3, 1190, 'ME', 'Student352@outlook.com', 9762138069, 1);
INSERT into STUDENT values ('Student353', 1.67, 1, 'PES2UG21EE083', 'EEE', 'Student353@rediffmail.com', 9839235530, 0);
INSERT into STUDENT values ('Student354', 7.48, 5, 'PES1UG19CS616', 'CSE', 'Student354@gmail.com', 9683987877, 0);
INSERT into STUDENT values ('Student355', 7.58, 3, 'PES2UG20BT684', 'BT', 'Student355@gmail.com', 9005529226, 0);
INSERT into STUDENT values ('Student356', 1.56, 5, 'PES2UG19ME433', 'ME', 'Student356@rediffmail.com', 8133205523, 0);
INSERT into STUDENT values ('Student357', 8.26, 5, 1396, 'ECE', 'Student357@rediffmail.com', 6496909935, 1);
INSERT into STUDENT values ('Student358', 7.15, 7, 'PES2UG18ME479', 'ME', 'Student358@yahoo.com', 9514441116, 0);
INSERT into STUDENT values ('Student359', 8.07, 1, 'PES2UG21BT288', 'BT', 'Student359@outlook.com', 8626812017, 0);
INSERT into STUDENT values ('Student360', 8.61, 7, 1420, 'CSE', 'Student360@yahoo.com', 6358145620, 1);
INSERT into STUDENT values ('Student361', 9.4, 1, 'PES1UG21CS402', 'CSE', 'Student361@rediffmail.com', 9054206562, 0);
INSERT into STUDENT values ('Student362', 4.26, 1, 'PES1UG21ME124', 'ME', 'Student362@outlook.com', 6405956397, 0);
INSERT into STUDENT values ('Student363', 2.75, 1, 739, 'ME', 'Student363@gmail.com', 6781904142, NULL);
INSERT into STUDENT values ('Student364', 4.38, 1, 'PES2UG21CV101', 'CV', 'Student364@gmail.com', 7538838979, 0);
INSERT into STUDENT values ('Student365', 2.7, 5, 'PES2UG19EE004', 'EEE', 'Student365@outlook.com', 7934003036, 0);
INSERT into STUDENT values ('Student366', 2.77, 5, 803, 'CSE', 'Student366@yahoo.com', 8569666266, 1);
INSERT into STUDENT values ('Student367', 2.89, 3, 'PES1UG20BT440', 'BT', 'Student367@hotmail.com', 7959882046, 0);
INSERT into STUDENT values ('Student368', 8.19, 3, 'PES1UG20EE330', 'EEE', 'Student368@outlook.com', 9434368929, 0);
INSERT into STUDENT values ('Student369', 3.71, 1, 'PES2UG21EE512', 'EEE', 'Student369@outlook.com', 6019299619, 0);
INSERT into STUDENT values ('Student370', 3.0, 5, 1292, 'BT', 'Student370@yahoo.com', 9616267247, 1);
INSERT into STUDENT values ('Student371', 7.62, 7, 1134, 'ECE', 'Student371@gmail.com', 6971415247, 1);
INSERT into STUDENT values ('Student372', 5.76, 3, 'PES2UG20EC111', 'ECE', 'Student372@hotmail.com', 8362042690, 0);
INSERT into STUDENT values ('Student373', 5.12, 5, 'PES1UG19EC081', 'ECE', 'Student373@hotmail.com', 6758533504, 0);
INSERT into STUDENT values ('Student374', 7.11, 1, 1380, 'ECE', 'Student374@gmail.com', 6208228448, NULL);
INSERT into STUDENT values ('Student375', 2.2, 3, 'PES1UG20EE511', 'EEE', 'Student375@rediffmail.com', 8167964152, 0);
INSERT into STUDENT values ('Student376', 2.37, 7, 834, 'CSE', 'Student376@rediffmail.com', 7095957955, 1);
INSERT into STUDENT values ('Student377', 1.16, 1, 1178, 'CSE', 'Student377@gmail.com', 8128021155, 1);
INSERT into STUDENT values ('Student378', 5.47, 1, 'PES1UG21BT393', 'BT', 'Student378@outlook.com', 6796615286, 0);
INSERT into STUDENT values ('Student379', 1.72, 1, 847, 'CV', 'Student379@gmail.com', 9660859113, 1);
INSERT into STUDENT values ('Student380', 1.79, 5, 1223, 'BT', 'Student380@yahoo.com', 9615119480, 1);
INSERT into STUDENT values ('Student381', 8.74, 3, 905, 'CSE', 'Student381@gmail.com', 7898755692, NULL);
INSERT into STUDENT values ('Student382', 5.93, 3, 'PES2UG20EC286', 'ECE', 'Student382@yahoo.com', 6306992833, 0);
INSERT into STUDENT values ('Student383', 4.39, 3, 922, 'ME', 'Student383@gmail.com', 8017167949, NULL);
INSERT into STUDENT values ('Student384', 8.5, 5, 'PES2UG19ME122', 'ME', 'Student384@outlook.com', 6290324871, 0);
INSERT into STUDENT values ('Student385', 9.06, 7, 'PES2UG18BT020', 'BT', 'Student385@outlook.com', 9683113719, 0);
INSERT into STUDENT values ('Student386', 3.15, 7, 'PES2UG18CV351', 'CV', 'Student386@yahoo.com', 7819734454, 0);
INSERT into STUDENT values ('Student387', 4.33, 3, 'PES2UG20EE390', 'EEE', 'Student387@gmail.com', 7508249179, 0);
INSERT into STUDENT values ('Student388', 8.99, 5, 958, 'BT', 'Student388@hotmail.com', 8655281646, NULL);
INSERT into STUDENT values ('Student389', 7.33, 7, 'PES1UG18CV415', 'CV', 'Student389@rediffmail.com', 7895641150, 0);
INSERT into STUDENT values ('Student390', 4.6, 5, 1068, 'ME', 'Student390@gmail.com', 6549173439, 1);
INSERT into STUDENT values ('Student391', 2.61, 7, 'PES1UG18EC078', 'ECE', 'Student391@yahoo.com', 9743045770, 0);
INSERT into STUDENT values ('Student392', 8.08, 1, 'PES2UG21CS606', 'CSE', 'Student392@yahoo.com', 9229276077, 0);
INSERT into STUDENT values ('Student393', 7.34, 5, 'PES1UG19BT059', 'BT', 'Student393@yahoo.com', 7027658804, 0);
INSERT into STUDENT values ('Student394', 8.35, 1, 'PES1UG21EE528', 'EEE', 'Student394@hotmail.com', 8234772832, 0);
INSERT into STUDENT values ('Student395', 7.07, 5, 'PES2UG19BT057', 'BT', 'Student395@hotmail.com', 7680671929, 0);
INSERT into STUDENT values ('Student396', 7.1, 1, 'PES1UG21EC180', 'ECE', 'Student396@hotmail.com', 8407897945, 0);
INSERT into STUDENT values ('Student397', 5.49, 1, 1058, 'CV', 'Student397@yahoo.com', 7025434874, NULL);
INSERT into STUDENT values ('Student398', 9.16, 1, 1084, 'EEE', 'Student398@outlook.com', 7377347004, 1);
INSERT into STUDENT values ('Student399', 9.03, 7, 'PES1UG18ME052', 'ME', 'Student399@rediffmail.com', 8194409041, 0);
INSERT into STUDENT values ('Student400', 2.86, 7, 1380, 'BT', 'Student400@yahoo.com', 6743707330, 1);
INSERT into STUDENT values ('Student401', 4.59, 3, 568, 'ECE', 'Student401@yahoo.com', 6047481602, 1);
INSERT into STUDENT values ('Student402', 1.27, 5, 986, 'ECE', 'Student402@rediffmail.com', 7138440403, NULL);
INSERT into STUDENT values ('Student403', 6.27, 1, 'PES2UG21CV350', 'CV', 'Student403@gmail.com', 7150422473, 0);
INSERT into STUDENT values ('Student404', 1.47, 3, 1178, 'ME', 'Student404@hotmail.com', 6818813313, NULL);
INSERT into STUDENT values ('Student405', 1.59, 1, 'PES2UG21EC243', 'ECE', 'Student405@gmail.com', 8918824742, 0);
INSERT into STUDENT values ('Student406', 6.32, 7, 1209, 'ECE', 'Student406@yahoo.com', 8013292500, 1);
INSERT into STUDENT values ('Student407', 1.67, 3, 'PES2UG20EE587', 'EEE', 'Student407@rediffmail.com', 9595449853, 0);
INSERT into STUDENT values ('Student408', 3.98, 5, 'PES2UG19CS140', 'CSE', 'Student408@yahoo.com', 6210656180, 0);
INSERT into STUDENT values ('Student409', 4.31, 3, 885, 'BT', 'Student409@rediffmail.com', 6015007588, 1);
INSERT into STUDENT values ('Student410', 9.81, 7, 957, 'ECE', 'Student410@rediffmail.com', 8361544470, NULL);
INSERT into STUDENT values ('Student411', 8.34, 1, 'PES2UG21BT227', 'BT', 'Student411@rediffmail.com', 7872466375, 0);
INSERT into STUDENT values ('Student412', 6.46, 3, 906, 'BT', 'Student412@hotmail.com', 9661031510, 1);
INSERT into STUDENT values ('Student413', 5.49, 7, 1178, 'ME', 'Student413@hotmail.com', 6801204057, 1);
INSERT into STUDENT values ('Student414', 4.18, 5, 'PES1UG19EE607', 'EEE', 'Student414@hotmail.com', 7718407496, 0);
INSERT into STUDENT values ('Student415', 3.29, 1, 1377, 'CV', 'Student415@gmail.com', 6097656818, 1);
INSERT into STUDENT values ('Student416', 8.79, 3, 'PES1UG20BT595', 'BT', 'Student416@rediffmail.com', 6337699323, 0);
INSERT into STUDENT values ('Student417', 2.9, 5, 991, 'ME', 'Student417@rediffmail.com', 6398395421, 1);
INSERT into STUDENT values ('Student418', 8.17, 1, 'PES2UG21CV679', 'CV', 'Student418@rediffmail.com', 6554686721, 0);
INSERT into STUDENT values ('Student419', 1.12, 5, 1121, 'CSE', 'Student419@outlook.com', 8393964996, NULL);
INSERT into STUDENT values ('Student420', 6.99, 7, 1170, 'BT', 'Student420@rediffmail.com', 6252747212, NULL);
INSERT into STUDENT values ('Student421', 9.67, 5, 'PES1UG19BT174', 'BT', 'Student421@rediffmail.com', 9735775992, 0);
INSERT into STUDENT values ('Student422', 9.29, 1, 880, 'ECE', 'Student422@yahoo.com', 7269016251, 1);
INSERT into STUDENT values ('Student423', 9.19, 5, 'PES1UG19EE505', 'EEE', 'Student423@hotmail.com', 8901813962, 0);
INSERT into STUDENT values ('Student424', 3.67, 1, 'PES2UG21EC705', 'ECE', 'Student424@yahoo.com', 7416289102, 0);
INSERT into STUDENT values ('Student425', 4.51, 1, 1379, 'EEE', 'Student425@rediffmail.com', 8615408459, 1);
INSERT into STUDENT values ('Student426', 5.66, 7, 1038, 'CSE', 'Student426@rediffmail.com', 9310925306, 1);
INSERT into STUDENT values ('Student427', 2.5, 7, 'PES1UG18CS018', 'CSE', 'Student427@gmail.com', 9698491384, 0);
INSERT into STUDENT values ('Student428', 9.8, 3, 927, 'EEE', 'Student428@gmail.com', 7566944100, 1);
INSERT into STUDENT values ('Student429', 2.03, 1, 'PES2UG21EC035', 'ECE', 'Student429@outlook.com', 9869859376, 0);
INSERT into STUDENT values ('Student430', 9.65, 3, 'PES2UG20EE137', 'EEE', 'Student430@hotmail.com', 6095962968, 0);
INSERT into STUDENT values ('Student431', 6.31, 1, 'PES2UG21ME361', 'ME', 'Student431@hotmail.com', 7757684130, 0);
INSERT into STUDENT values ('Student432', 7.28, 1, 'PES1UG21EE351', 'EEE', 'Student432@hotmail.com', 6016535859, 0);
INSERT into STUDENT values ('Student433', 6.34, 7, 'PES1UG18CS542', 'CSE', 'Student433@gmail.com', 8220084539, 0);
INSERT into STUDENT values ('Student434', 8.26, 7, 1170, 'ECE', 'Student434@yahoo.com', 8298984490, 1);
INSERT into STUDENT values ('Student435', 1.12, 7, 'PES1UG18CS241', 'CSE', 'Student435@hotmail.com', 9379848085, 0);
INSERT into STUDENT values ('Student436', 7.62, 7, 1216, 'EEE', 'Student436@outlook.com', 6689565414, NULL);
INSERT into STUDENT values ('Student437', 1.27, 3, 830, 'CSE', 'Student437@hotmail.com', 8112550228, NULL);
INSERT into STUDENT values ('Student438', 4.32, 3, 1097, 'ECE', 'Student438@outlook.com', 9304777905, 1);
INSERT into STUDENT values ('Student439', 7.18, 3, 'PES2UG20BT711', 'BT', 'Student439@rediffmail.com', 8052752613, 0);
INSERT into STUDENT values ('Student440', 9.29, 3, 921, 'ECE', 'Student440@hotmail.com', 6870162215, 1);
INSERT into STUDENT values ('Student441', 6.45, 3, 1124, 'CV', 'Student441@outlook.com', 9149806857, NULL);
INSERT into STUDENT values ('Student442', 8.04, 5, 'PES2UG19EC152', 'ECE', 'Student442@outlook.com', 7764253601, 0);
INSERT into STUDENT values ('Student443', 6.26, 5, 'PES1UG19BT232', 'BT', 'Student443@hotmail.com', 7922018472, 0);
INSERT into STUDENT values ('Student444', 5.06, 1, 'PES1UG21EC052', 'ECE', 'Student444@yahoo.com', 9586335728, 0);
INSERT into STUDENT values ('Student445', 1.54, 1, 'PES2UG21EE085', 'EEE', 'Student445@outlook.com', 7030018467, 0);
INSERT into STUDENT values ('Student446', 9.93, 5, 929, 'CSE', 'Student446@hotmail.com', 9263109240, NULL);
INSERT into STUDENT values ('Student447', 8.45, 3, 'PES1UG20EC017', 'ECE', 'Student447@outlook.com', 9414610298, 0);
INSERT into STUDENT values ('Student448', 7.32, 5, 'PES2UG19CS340', 'CSE', 'Student448@gmail.com', 7672084538, 0);
INSERT into STUDENT values ('Student449', 6.14, 1, 1436, 'BT', 'Student449@yahoo.com', 9123127487, 1);
INSERT into STUDENT values ('Student450', 3.5, 7, 954, 'CV', 'Student450@yahoo.com', 7136209154, NULL);
